ROI,tvalue,pvalue,fdr-pvalue
A9/46d_L,3.501155607506951,0.0005004362681437709,0.012059415620389188
A9/46d_R,2.5125503419426085,0.012268123730465673,0.059387611644155534
IFJ_L,1.7085448088695583,0.08809340744352276,0.15753392090463428
IFJ_R,2.062514715158784,0.03962267992311079,0.10260188695879216
A46_L,1.4323088401478195,0.15261740411260133,0.2157694334005743
A46_R,2.009035952330114,0.04501618895201842,0.10964339091283694
A9/46v_L,1.4347311028950036,0.15192596406025818,0.2157694334005743
A9/46v_R,0.3922860249673505,0.6949972179107092,0.7183584689329179
A8vl_L,3.121677769304208,0.0018916736193462585,0.024405318240904007
A8vl_R,2.53043882037455,0.011666803649624503,0.059387611644155534
A6vl_L,2.0168471405964703,0.04419164682583347,0.10871145119155035
A6vl_R,2.851253787350508,0.004516483238004654,0.0371145778493451
A10l_L,2.2089885109990304,0.027582445786309827,0.08928002188726601
A10l_R,2.054628812492882,0.04038166183964533,0.10347800846409116
A44d_L,2.54422739754135,0.011221344534299451,0.059387611644155534
A44d_R,1.8871327918095127,0.059663130179638285,0.12030434446058212
IFS_L,1.5816368686155116,0.11430114903016088,0.1791915154024025
IFS_R,0.9222069099561162,0.35682065408262575,0.40278470190479654
A45c_L,1.9109144788562742,0.05652953659237682,0.11685937816575376
A45c_R,1.8728093989883927,0.06161923185401777,0.12323846370803554
A45r_L,1.259989168349381,0.20820185980130884,0.26613407639892533
A45r_R,1.4716575243888286,0.14167914454567782,0.20995825035082374
A44op_L,1.5835067618830445,0.11387461426588617,0.1791915154024025
A44op_R,2.409312770532502,0.016306587250894795,0.06576099120852655
A44v_L,2.145168923859393,0.032371872249999184,0.09594554907831084
A44v_R,1.9237542522721867,0.0548955966320321,0.11528777361460027
A14m_L,2.2643066449540292,0.023939564605602894,0.08413046989969017
A14m_R,1.2850250345348022,0.19931858584254472,0.26046133557158996
A12/47o_L,1.9995868161221049,0.04603098075251154,0.10978610915762457
A12/47o_R,-0.11575151447231727,0.907891271005981,0.907891271005981
A11l_L,1.3614716127042636,0.17391614844175352,0.23293595108134382
A11l_R,0.21542305397956157,0.8295164961128315,0.8538119583420776
A11m_L,1.1304471740858704,0.2587752501298253,0.3115522724190321
A11m_R,1.258341994364096,0.20879624693086418,0.26613407639892533
